TB-4017,Try a Bus Airways,ATL,FRA,Monday,18:30,174,1444.00
SL-4367,Scare Airlines,YYC,YEG,Thursday,21:30,50,270.00
AL-6488,Always Late Airlines,PEK,YVR,Saturday,0:30,292,4710.00
SL-9996,Scare Airlines,DFW,FRA,Sunday,21:00,255,1188.00
SW-3491,Sprawl Airways,YVR,PEK,Thursday,8:30,255,1086.00
SL-9465,Scare Airlines,YEG,CDG,Sunday,7:15,292,1456.00
SL-2797,Scare Airlines,YOW,CDG,Saturday,23:30,255,1060.00
MA-6635,Mediocre Airlines,YUL,DFW,Friday,15:00,169,449.00
CA-1858,Conned Air,YOW,AMS,Tuesday,20:15,292,751.00
TB-9958,Try a Bus Airways,YYC,YVR,Friday,15:00,50,183.00
OA-8419,Otto Airlines,FRA,PEK,Friday,16:45,255,474.00
AL-1806,Always Late Airlines,YVR,DEL,Sunday,15:45,174,1159.00
GA-5581,Gypped Air,PEK,YVR,Monday,0:30,292,4710.00
AL-7656,Always Late Airlines,LHR,ORD,Thursday,7:15,169,747.00
OA-8724,Otto Airlines,LHR,PVG,Sunday,14:15,292,510.00
SL-9060,Scare Airlines,DEL,YEG,Monday,20:00,255,848.00
SL-1151,Scare Airlines,YOW,LHR,Saturday,3:30,174,958.00
TB-2646,Try a Bus Airways,YYC,YOW,Wednesday,23:00,78,792.00
MA-2753,Mediocre Airlines,DEL,DXB,Saturday,9:00,174,354.00
EC-6309,Error Canada,LHR,FRA,Tuesday,11:30,169,119.00
AS-9371,AirShaker,YOW,HKG,Thursday,5:30,292,968.00
OA-1936,Otto Airlines,PVG,HND,Wednesday,15:00,292,484.00
VA-9950,Vertical Airways,YYC,YEG,Monday,21:30,50,270.00
GA-1232,Gypped Air,ATL,DXB,Sunday,5:15,255,1101.00
TB-7564,Try a Bus Airways,YWG,YEG,Tuesday,5:15,78,442.00
TB-8016,Try a Bus Airways,YVR,YYZ,Tuesday,9:45,120,351.00
GA-3170,Gypped Air,YVR,LHR,Monday,17:15,174,899.00
ST-9539,Scaretransat,YUL,DEL,Friday,21:15,169,896.00
OA-5374,Otto Airlines,DXB,DFW,Saturday,19:30,255,774.00
ST-2198,Scaretransat,YEG,PEK,Monday,9:15,174,1052.00
SL-9998,Scare Airlines,LHR,FRA,Wednesday,11:30,169,119.00
TB-4524,Try a Bus Airways,YYZ,YUL,Monday,21:00,76,218.00
MA-9995,Mediocre Airlines,YYZ,AMS,Wednesday,20:00,255,1029.00
OA-1346,Otto Airlines,DFW,YEG,Monday,16:45,255,297.00
EC-5397,Error Canada,YVR,YOW,Wednesday,2:30,76,404.00
AL-1963,Always Late Airlines,YOW,YVR,Sunday,19:00,76,443.00
SW-7615,Sprawl Airways,LHR,DFW,Wednesday,1:45,255,892.00
AS-6664,AirShaker,YUL,HKG,Sunday,4:30,292,1220.00
ST-3838,Scaretransat,YUL,HKG,Wednesday,4:30,292,1220.00
TB-8162,Try a Bus Airways,PEK,DFW,Tuesday,22:45,169,1373.00
OA-3107,Otto Airlines,CDG,YYZ,Monday,21:30,169,682.00
EC-4888,Error Canada,YWG,YOW,Wednesday,13:15,76,399.00
VA-2574,Vertical Airways,YWG,YYZ,Friday,19:30,50,175.00
CA-8844,Conned Air,YEG,CDG,Wednesday,7:15,292,1456.00
MA-5461,Mediocre Airlines,CDG,YYC,Monday,17:30,255,1267.00
AL-3425,Always Late Airlines,PEK,LHR,Thursday,16:30,292,816.00
OA-3030,Otto Airlines,DXB,CDG,Saturday,21:30,292,600.00
SW-7911,Sprawl Airways,DEL,ATL,Monday,22:15,174,1308.00
OA-7749,Otto Airlines,AMS,YYZ,Thursday,13:30,255,819.00
AL-5501,Always Late Airlines,YYZ,YVR,Thursday,21:00,120,321.00
OA-3742,Otto Airlines,HKG,ATL,Wednesday,20:15,169,1689.00
AL-6457,Always Late Airlines,PEK,LHR,Friday,16:30,292,816.00
TB-1516,Try a Bus Airways,DFW,YVR,Sunday,14:45,169,264.00
OA-3227,Otto Airlines,CDG,DFW,Sunday,6:45,292,1044.00
SL-1517,Scare Airlines,PVG,ATL,Thursday,7:30,255,1209.00
SW-4773,Sprawl Airways,YUL,FRA,Saturday,20:15,169,741.00
OA-7324,Otto Airlines,YEG,DEL,Sunday,13:00,174,1215.00
VA-2016,Vertical Airways,HKG,AMS,Tuesday,21:45,174,900.00
VA-8895,Vertical Airways,DXB,YEG,Friday,6:00,292,1267.00
AL-3382,Always Late Airlines,YYC,HKG,Thursday,1:15,174,842.00
AS-9601,AirShaker,ORD,YOW,Saturday,11:30,292,664.00
EC-4943,Error Canada,DFW,ATL,Wednesday,21:45,292,197.00
ST-9131,Scaretransat,YEG,YOW,Thursday,10:30,50,623.00
SW-1727,Sprawl Airways,YEG,FRA,Tuesday,0:30,255,1252.00
VA-8290,Vertical Airways,YYC,PEK,Tuesday,0:00,169,1170.00
MA-9141,Mediocre Airlines,LHR,DFW,Tuesday,1:45,255,892.00
VA-1824,Vertical Airways,YOW,AMS,Saturday,20:15,292,751.00
EC-6112,Error Canada,DXB,ATL,Monday,2:30,174,1068.00
TB-9177,Try a Bus Airways,PEK,ATL,Monday,8:30,174,1534.00
TB-4057,Try a Bus Airways,YYZ,HKG,Thursday,23:45,255,959.00
CA-3278,Conned Air,PEK,FRA,Monday,2:00,255,635.00
AS-9183,AirShaker,DXB,FRA,Tuesday,7:45,174,503.00
GA-3898,Gypped Air,DXB,ORD,Monday,4:45,255,1144.00
TB-5209,Try a Bus Airways,YWG,DFW,Thursday,10:00,169,823.00
AS-9418,AirShaker,YEG,YUL,Monday,12:30,50,557.00
ST-6699,Scaretransat,PVG,FRA,Sunday,13:30,174,2756.00
CA-7550,Conned Air,YEG,YVR,Monday,0:45,50,191.00
SW-2403,Sprawl Airways,YYC,YVR,Thursday,15:00,50,183.00
SL-9458,Scare Airlines,ORD,ATL,Tuesday,11:45,292,128.00
MA-2387,Mediocre Airlines,DFW,LHR,Saturday,2:45,169,2064.00
AL-3362,Always Late Airlines,ORD,AMS,Wednesday,20:45,292,1189.00
CA-9347,Conned Air,ATL,FRA,Thursday,18:30,174,1444.00
AS-9914,AirShaker,LHR,YYZ,Friday,9:45,174,914.00
ST-5959,Scaretransat,ATL,CDG,Wednesday,5:00,292,848.00
SL-5793,Scare Airlines,DFW,HKG,Friday,3:30,174,966.00
CA-8672,Conned Air,DFW,LHR,Friday,2:45,169,2064.00
CA-4049,Conned Air,YYZ,YUL,Thursday,21:00,76,218.00
AL-7310,Always Late Airlines,DEL,CDG,Sunday,22:00,169,421.00
EC-6380,Error Canada,DXB,YOW,Friday,19:15,169,2177.00
EC-3014,Error Canada,PEK,CDG,Monday,17:45,174,1323.00
SW-8096,Sprawl Airways,PVG,ORD,Saturday,13:30,292,1600.00
TB-9859,Try a Bus Airways,YOW,CDG,Thursday,23:30,255,1060.00
MA-4214,Mediocre Airlines,HKG,YVR,Sunday,10:15,292,978.00
ST-6782,Scaretransat,YVR,CDG,Tuesday,14:45,169,906.00
MA-1478,Mediocre Airlines,YVR,ORD,Monday,8:15,169,309.00
VA-5662,Vertical Airways,YEG,HKG,Saturday,19:15,255,1208.00
GA-1694,Gypped Air,HKG,HND,Wednesday,15:30,169,524.00
AL-9489,Always Late Airlines,ATL,HKG,Thursday,8:45,169,1203.00
MA-8871,Mediocre Airlines,YVR,YOW,Monday,2:30,76,404.00
VA-4531,Vertical Airways,ORD,YEG,Saturday,18:30,292,456.00
CA-2422,Conned Air,YEG,YYZ,Friday,3:30,50,198.00
CA-4070,Conned Air,FRA,ORD,Thursday,10:30,292,829.00
